C334	C=CCCN1CCC(NC(C)=O)CC1
C335	CCS(=O)(=O)c1c[nH]c(=O)c(C(=O)NC)c1
C336	CC(=O)N1CCCC(O)(CN(C)C)C1
C337	C=CCCC1(C#N)CCN(C(C)=O)CC1
C338	CNC(=O)c1cccc(-c2cnc3[nH]c(=O)n(C)c3c2)c1
C339	CNC(=O)c1cc(-c2cc(F)ccc2F)on1
C340	CC(=O)N1CCN(C(C)c2nc(C(C)C)no2)CC1
C342	CC(=O)N1CCC(S(=O)(=O)c2ccc(F)cc2)C1
C343	CC(=O)N1CCOC2(C1)C1CC3CC(C1)CC2C3
C344	CC(=O)N1CCCCCCNC(=O)C2CCCC21
C345	CC(=O)N1CC(c2nc(O)cc(=O)[nH]2)C1
C346	CNC(=O)c1cccn2c(CC(C)C)nnc12
C347	CNC(=O)Cc1sc(-c2ccn[nH]2)nc1C
C348	CCc1csc(-n2cc(C(=O)NC)cn2)n1
C349	CC(=O)NCc1cn(-c2ccccc2)nc1C(C)C
C350	CNC(=O)[C@@H]1C[C@]12CCOc1ccc(Cl)cc12
C351	CC(=O)NC(C)Cc1ccc(S(N)(=O)=O)cc1
C352	CC(=O)NCc1csc(CNC(C)=O)n1
C353	CNC(=O)Cc1nc2nccc(-c3ccc(F)cc3)n2n1
C354	CNC(=O)c1cc(OC)nn1-c1ncccc1Cl
C355	CNC(=O)c1cnc2ccc(OC)cc2c1C(F)(F)F
C356	COc1cc(C2(F)CN(C(C)=O)C2)ccc1F
C357	CC(=O)NC1(Cc2ccc(F)c(C)c2)CC1
C358	CCC1(CC)CN(C(C)=O)CC[S+]1[O-]
C359	CC(=O)NC1C(=O)Nc2ccc(C(C)C)cc21
C360	CC(=O)NCC1CCCC(C(F)(F)F)O1
C361	CNC(=O)c1cn2ccnc2s1
C362	CNC(=O)c1nc(-c2ccccc2)oc1C1CC1
C363	CNC(=O)c1nc(C(F)(F)F)n2ccccc12
C364	CNC(=O)c1csc2cc(Cl)cnc12
C365	CC(=O)N1CC(N2CC(c3nc(C4CC4)no3)CC2=O)C1
C366	CC(=O)NC(CO)c1cc(F)c(F)c(F)c1
C367	CNC(=O)Cn1c(C)nc2cc(F)c(F)cc21
C368	CO[C@@H]1C[C@H](CNC(C)=O)N(c2cc(C)ncn2)C1
C369	CNC(=O)[C@@H]1CN(C(C)(C)C)C[C@H]1C(F)(F)F
C370	CNC(=O)CC(C)c1ccncc1
C371	CNC(=O)C1C2CCN(CC2)S1(=O)=O
C373	CNC(=O)c1cccc2c1C(C)(C)C(C)=N2
C374	CC(=O)N1CCc2ccc(C#N)nc2CC1
C375	CC(=O)N1C[C@@H]2[C@@](C(F)(F)F)(CCS2(=O)=O)C1
C376	CC(=O)NC1CC2CCC1(C(F)(F)F)C2
C378	CNC(=O)c1ncnn2cccc12
C379	CCn1cc(S(=O)(=O)N2CCC(C(=O)NC)CC2)cn1
C380	CC(=O)NCc1cccc2nsnc12
C381	CC(=O)N1CCn2c(CCO)nnc2C1
C382	CC(=O)Nc1cccc(OCc2cscn2)c1
C383	CC(=O)Nc1cc2c(cc1N1CCCCC1)n(C)c(=O)n2C
C384	COCC1=NN(c2ccc(NC(C)=O)cn2)C(=O)C1
C385	CC(=O)N1CCC2(CCOCC2)C12CC2
C386	CC(=O)NCC1CCC2C(CC1)C2(F)F
C387	CC(=O)N1CC2(CCC2)OC2(CCC2)C1
C388	CNC(=O)c1c[nH]cc1-c1ccc(Cl)s1
C389	CNC(=O)c1csc2cncn12
C390	CNC(=O)c1ncoc1-c1ccc(C)cc1
C391	CNC(=O)c1csc(-c2cn[nH]c2)c1
C392	CNC(=O)c1ccccc1N(C)C(=O)c1scnc1C
C393	CNC(=O)CN1CCCC2(CC2)S1(=O)=O
C394	CNC(=O)c1c2c(nn1C)CCS(=O)(=O)C2
C395	CC(=O)NC(C)Cn1cnc2c(cnn2C)c1=O
C396	CNC(=O)c1ccccc1Cc1ncn[nH]1
C397	CC(=O)Nc1ccc2nnc(-c3ccc(F)cc3)n2c1
C398	CC(=O)Nc1ccc(F)c(NC(=O)Cn2cncn2)c1
C399	CNC(=O)c1snnc1-c1ccccc1C
C400	CNC(=O)c1c[nH]c(C(C)(C)C)n1
C401	CC(=O)N1CCS(=O)(=NS(C)(=O)=O)CC1
C402	CNC(=O)C(C)c1ncccc1F
C403	CNC(=O)c1ccc(S(=O)(=O)c2ccccc2)s1
C404	CCc1nncn1CCNC(C)=O
C405	CNC(=O)c1ccc(C2(OC)COC2)cc1
