"","Accession","fp_only_abs_sum","Gene_Symbol","comparison","Abundance_Ratio_log2_","selected_pvalues"
"189","Q8IXJ6",11.09,"SIRT2","PC_C391_E8_20x__PC_C391_F",-1.28,0.0370078818364158
"190","Q8IXJ6",11.09,"SIRT2","PC_C391_E9_20x__PC_C391_F",-1.39,0.023614707756341
"191","Q8IXJ6",11.09,"SIRT2","PC_C391_F__CRF",3.54,4.16558679192658e-05
"192","Q8IXJ6",11.09,"SIRT2","screen_C391_F__CRF",4.99,2.66e-06
"193","Q14185",11.07,"DOCK1","PC_C391_E1_20x__PC_C391_F",-1.25,0.0652404062065145
"194","Q14185",11.07,"DOCK1","PC_C391_E10_20x__PC_C391_F",-0.72,0.450501354358804
"195","Q14185",11.07,"DOCK1","PC_C391_E4_20x__PC_C391_F",-1.69,0.0130577206525236
"196","Q14185",11.07,"DOCK1","PC_C391_E6_20x__PC_C391_F",-1.78,0.00955753298005446
"197","Q14185",11.07,"DOCK1","PC_C391_E8_20x__PC_C391_F",-1.37,0.040699590362221
"198","Q14185",11.07,"DOCK1","PC_C391_E9_20x__PC_C391_F",-1.07,0.128377055769528
"199","Q14185",11.07,"DOCK1","PC_C391_F__CRF",3.19,0.00017967016926767
"200","Q14185",11.07,"DOCK1","screen_C391_F__CRF",3.39,5.44e-06
"201","Q00535",11.06,"CDK5","PC_C391_E1_20x__PC_C391_F",-1.31,0.0341244390347415
"202","Q00535",11.06,"CDK5","PC_C391_E10_20x__PC_C391_F",-0.76,0.323006910176503
"203","Q00535",11.06,"CDK5","PC_C391_E4_20x__PC_C391_F",-1.23,0.0471416714663166
"204","Q00535",11.06,"CDK5","PC_C391_E6_20x__PC_C391_F",-2.08,0.00199514339654616
"205","Q00535",11.06,"CDK5","PC_C391_E8_20x__PC_C391_F",-1.37,0.0266768215220966
"206","Q00535",11.06,"CDK5","PC_C391_E9_20x__PC_C391_F",-0.92,0.170320447442248
"207","Q00535",11.06,"CDK5","PC_C391_F__CRF",3.39,6.09574286530856e-05
"208","Q00535",11.06,"CDK5","screen_C391_F__CRF",3.93,2.1e-06
"209","Q9P253",11.01,"VPS18","PC_C391_E1_20x__PC_C391_F",-1.07,0.467218773070429
"210","Q9P253",11.01,"VPS18","PC_C391_E10_20x__PC_C391_F",-0.56,0.935123643374712
"211","Q9P253",11.01,"VPS18","PC_C391_E4_20x__PC_C391_F",-1.51,0.168583120713644
"212","Q9P253",11.01,"VPS18","PC_C391_E6_20x__PC_C391_F",-1.54,0.157069949597103
"213","Q9P253",11.01,"VPS18","PC_C391_E8_20x__PC_C391_F",-1.28,0.29662002202058
"214","Q9P253",11.01,"VPS18","PC_C391_E9_20x__PC_C391_F",-0.97,0.568005700019266
"215","Q9P253",11.01,"VPS18","PC_C391_F__CRF",4.08,0.00057779882583475
"216","Q9P253",11.01,"VPS18","screen_C391_F__CRF",4.2,2.127e-05
"217","O60830",10.96,"TIMM17B","PC_C391_E1_20x__PC_C391_F",-0.84,0.564206191280252
"218","O60830",10.96,"TIMM17B","PC_C391_E10_20x__PC_C391_F",-0.58,0.862944346997552
"219","O60830",10.96,"TIMM17B","PC_C391_E4_20x__PC_C391_F",-1.31,0.168380079062662
"220","O60830",10.96,"TIMM17B","PC_C391_E6_20x__PC_C391_F",-1.54,0.0863924916403078
"221","O60830",10.96,"TIMM17B","PC_C391_E8_20x__PC_C391_F",-1.03,0.359957996135795
"222","O60830",10.96,"TIMM17B","PC_C391_E9_20x__PC_C391_F",-1.34,0.154791184218074
"223","O60830",10.96,"TIMM17B","PC_C391_F__CRF",4.32,0.00013725362762284
"224","O60830",10.96,"TIMM17B","screen_C391_F__CRF",5.58,5e-08
"225","P0DMN0",10.89,"SULT1A4","PC_C391_E1_20x__PC_C391_F",-1.25,0.0415396349566949
"226","P0DMN0",10.89,"SULT1A4","PC_C391_E10_20x__PC_C391_F",-0.73,0.355027149672244
"227","P0DMN0",10.89,"SULT1A4","PC_C391_E4_20x__PC_C391_F",-1.1,0.0778218679259771
"228","P0DMN0",10.89,"SULT1A4","PC_C391_E6_20x__PC_C391_F",-1.91,0.00350975850171797
"229","P0DMN0",10.89,"SULT1A4","PC_C391_E8_20x__PC_C391_F",-1.09,0.0826151200045128
"230","P0DMN0",10.89,"SULT1A4","PC_C391_E9_20x__PC_C391_F",-1.33,0.0303164943305854
"231","P0DMN0",10.89,"SULT1A4","PC_C391_F__CRF",3.48,4.85408227201001e-05
"232","P0DMN0",10.89,"SULT1A4","screen_C391_F__CRF",NA,NA
"233","P30519",10.85,"HMOX2","PC_C391_E1_20x__PC_C391_F",-1.09,0.16849658978416
"234","P30519",10.85,"HMOX2","PC_C391_E10_20x__PC_C391_F",-0.65,0.63780144458254
"235","P30519",10.85,"HMOX2","PC_C391_E4_20x__PC_C391_F",-1.45,0.0482196858537266
"236","P30519",10.85,"HMOX2","PC_C391_E6_20x__PC_C391_F",-1.59,0.0298641216361937
"237","P30519",10.85,"HMOX2","PC_C391_E8_20x__PC_C391_F",-1.28,0.0866925843478615
"238","P30519",10.85,"HMOX2","PC_C391_E9_20x__PC_C391_F",-0.76,0.482298368602785
"239","P30519",10.85,"HMOX2","PC_C391_F__CRF",4.03,6.10526682646162e-05
"240","P30519",10.85,"HMOX2","screen_C391_F__CRF",5.25,1.476e-05
"241","Q9GZS3",10.85,"WDR61","PC_C391_E1_20x__PC_C391_F",-1.17,0.0827718162801357
"242","Q9GZS3",10.85,"WDR61","PC_C391_E10_20x__PC_C391_F",-0.89,0.242269829516107
"243","Q9GZS3",10.85,"WDR61","PC_C391_E4_20x__PC_C391_F",-1.26,0.0580950083484137
"244","Q9GZS3",10.85,"WDR61","PC_C391_E6_20x__PC_C391_F",-1.89,0.00596669358862378
"245","Q9GZS3",10.85,"WDR61","PC_C391_E8_20x__PC_C391_F",-1.21,0.0717112052830559
"246","Q9GZS3",10.85,"WDR61","PC_C391_E9_20x__PC_C391_F",-1.22,0.0679224159332851
"247","Q9GZS3",10.85,"WDR61","PC_C391_F__CRF",3.21,0.0001545633019373
