fragId,SMILES,SMILES Naked,HBD,HBA,cLogP,Heteroatoms,Rings,Rot. Bonds,Aromatic Bonds,Acidic Groups,Basic Groups,Atomic Polarizability
C271,C#CCCC1(CCC(=O)Nc2cc(C3CC3)nn2C2CCS(=O)(=O)C2)N=N1,CC(=O)Nc1cc(C2CC2)nn1C1CCS(=O)(=O)C1,1,5,1.0784999999999998,7,3,3,5,0,0,41.06148100000001
C272,C#CCCC1(CCNC(=O)c2ccccc2NC(=O)CC#N)N=N1,CNC(=O)c1ccccc1NC(=O)CC#N,2,3,0.89838,5,1,3,6,0,0,31.598723000000003
C273,C#CCCC1(CCNC(=O)[C@H]2C[C@H]2c2nc(C(F)(F)F)no2)N=N1,CNC(=O)[C@@H]1C[C@@H]1c1nc(C(F)(F)F)no1,1,4,0.9379000000000002,8,2,2,5,0,0,25.989344000000003
C274,C#CCCC1(CCNC(=O)c2cc(=O)[nH]c3nn(CC)c(C4CC4)c23)N=N1,CCn1nc2[nH]c(=O)cc(C(=O)NC)c2c1C1CC1,2,4,0.9815000000000002,6,3,3,10,0,0,39.552688
C275,C#CCCC1(CCC(=O)NCCN2c3ccccc3NS2(=O)=O)N=N1,CC(=O)NCCN1c2ccccc2NS1(=O)=O,2,3,0.2993999999999997,7,2,3,6,0,0,34.874309000000004
C276,C#CCCC1(CCC(=O)NCC2CCCN(CC#N)C2)N=N1,CC(=O)NCC1CCCN(CC#N)C1,1,3,0.35807999999999995,4,1,3,0,0,1,33.03748100000001
C277,C#CCCC1(CCC(=O)N2CCC34CCC(CC23)C4(C)C)N=N1,CC(=O)N1CCC23CCC(CC12)C3(C)C,0,1,2.4335000000000004,2,3,0,0,0,0,38.784653
C278,C#CCCC1(CCC(=O)Nc2ccc3c(c2)C=CC2(CCC2)O3)N=N1,CC(=O)Nc1ccc2c(c1)C=CC1(CCC1)O2,1,2,2.973300000000001,3,3,1,6,0,0,37.345895000000006
C279,C#CCCC1(CCC(=O)N2CCC3(CC2)CC(O)c2nn(C)cc2O3)N=N1,CC(=O)N1CCC2(CC1)CC(O)c1nn(C)cc1O2,1,5,0.6170999999999998,6,3,0,5,0,0,41.255067
C280,C#CCCC1(CCC(=O)N(C)Cc2cnc(-n3cccn3)s2)N=N1,CC(=O)N(C)Cc1cnc(-n2cccn2)s1,0,5,1.3071000000000002,6,2,3,10,0,0,33.70351600000001
C281,C#CCCC1(CCNC(=O)C2CN3CC4CC3(CO2)C4)N=N1,CC(=O)NC(CN(C)C)c1ccco1,1,3,1.0183999999999995,4,1,4,5,0,1,32.072688
C282,C#CCCC1(CCC(=O)NCc2cc(Oc3ccc(F)cc3)ccn2)N=N1,CC(=O)NCc1cc(Oc2ccc(F)cc2)ccn1,1,3,2.6491000000000007,5,2,4,12,0,0,37.669309000000005
C283,C#CCCC1(CCC(=O)NCc2nn[nH]c2-c2ccnn2C)N=N1,CC(=O)NCc1nn[nH]c1-c1ccnn1C,2,5,-0.1587000000000005,7,2,3,10,0,0,31.243516000000007
C284,C#CCCC1(CCNC(=O)c2c(-c3ccccc3)nc3sccn23)N=N1,CNC(=O)c1c(-c2ccccc2)nc2sccn12,1,4,2.4224000000000006,5,3,2,15,0,0,37.21672300000001
C285,C#CCCC1(CCC(=O)NC2C(=O)Nc3ccc(C(C)C)cc32)N=N1,CC(=O)N1CCC2(CC1)OCc1ccncc12,0,3,1.4494,4,3,0,6,0,0,37.35268799999999
C286,C#CCCC1(CCC(=O)N2CCC(C(O)c3cccc(OC)c3)CC2)N=N1,COc1cccc(C(O)C2CCN(C(C)=O)CC2)c1,1,3,1.9870999999999999,4,2,3,6,0,0,43.908653
C287,C#CCCC1(CCC(=O)Nc2cccc3oc(C(F)(F)F)nc23)N=N1,CC(=O)Nc1cccc2oc(C(F)(F)F)nc12,1,3,2.8050000000000006,7,2,1,10,0,0,27.742551000000002
C288,C#CCCC1(CCNC(=O)C2C3CC2(c2ccccc2C)CO3)N=N1,CNC(=O)C1C2CC1(c1ccccc1C)CO2,1,2,1.3975199999999994,3,4,2,6,0,0,38.679481
C289,C#CCCC1(CCC(=O)Nc2cc(CCc3ccccc3C)n[nH]2)N=N1,CC(=O)Nc1cc(CCc2ccccc2C)n[nH]1,2,2,2.4617199999999997,4,2,4,11,0,0,40.077481000000006
C290,C#CCCC1(CCC(=O)NCc2cc(Cl)cc(S(=O)(=O)CC)c2)N=N1,CCS(=O)(=O)c1cc(Cl)cc(CNC(C)=O)c1,1,3,1.7697,6,1,4,6,0,0,37.281102000000004
C291,C#CCCC1(CCC(=O)NC2(CCO)CS(=O)(=O)C2)N=N1,CC(=O)NC1(CCO)CS(=O)(=O)C1,2,4,-1.3278999999999992,6,1,3,0,0,0,28.196309
C292,C#CCCC1(CCC(=O)NCc2cccc(N3C(=O)NC4(CCCC4)C3=O)c2)N=N1,CC(=O)NCc1cccc(N2C(=O)NC3(CCCC3)C2=O)c1,2,3,1.6917,6,3,3,6,0,0,46.53506700000001
C293,C#CCCC1(CCC(=O)N2CCCn3c(cc4ccccc43)C2)N=N1,CC(=O)N1CCCC1C(C#N)c1ccccc1,0,2,2.3046800000000003,3,2,2,6,0,0,38.31068800000001
C294,C#CCCC1(CCC(=O)Nc2cc(C(=O)N3CCN(C)CC3)ccc2OC)N=N1,COc1ccc(C(=O)N2CCN(C)CC2)cc1NC(C)=O,1,4,1.0412,6,2,3,6,0,1,46.108653000000004
C295,C#CCCC1(CCC(=O)N2CCP(=O)(c3ccccc3)CC2)N=N1,CC(=O)N1CCP(=O)(c2ccccc2)CC1,0,2,1.5371000000000001,4,2,1,6,0,0,38.122688000000004
